FLIGHT_MONTH,YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
01-01-2025,2025,1,ALBANIA,LA,30695.79208,2269,FALSE
01-02-2025,2025,2,ALBANIA,LA,26966.9529,2034,FALSE
01-03-2025,2025,3,ALBANIA,LA,31640.85448,2355,FALSE
01-04-2025,2025,4,ALBANIA,LA,37629.68448,2720,FALSE
01-01-2025,2025,1,ARMENIA,UD,34210.13752,1573,FALSE
01-02-2025,2025,2,ARMENIA,UD,25621.81088,1181,FALSE
01-03-2025,2025,3,ARMENIA,UD,31070.20072,1406,FALSE
01-04-2025,2025,4,ARMENIA,UD,34752.38124,1614,FALSE
01-01-2025,2025,1,AUSTRIA,LO,210136.8627,12021,FALSE
01-02-2025,2025,2,AUSTRIA,LO,196878.6137,11822,FALSE
01-03-2025,2025,3,AUSTRIA,LO,226845.8525,13585,FALSE
01-04-2025,2025,4,AUSTRIA,LO,251820.9564,13906,FALSE
01-01-2025,2025,1,BELGIUM,EB,436061.8226,11453,FALSE
01-02-2025,2025,2,BELGIUM,EB,402518.0186,10987,FALSE
01-03-2025,2025,3,BELGIUM,EB,479090.2035,12822,FALSE
01-04-2025,2025,4,BELGIUM,EB,508200.5766,13726,FALSE
01-01-2025,2025,1,BOSNIA AND HERZEGOVINA,LQ,8128.57452,818,FALSE
01-02-2025,2025,2,BOSNIA AND HERZEGOVINA,LQ,7121.99628,743,FALSE
01-03-2025,2025,3,BOSNIA AND HERZEGOVINA,LQ,8266.23862,826,FALSE
01-04-2025,2025,4,BOSNIA AND HERZEGOVINA,LQ,12139.5259,1072,FALSE
01-01-2025,2025,1,BULGARIA,LB,46476.42046,3064,FALSE
01-02-2025,2025,2,BULGARIA,LB,43446.49468,2867,FALSE
01-03-2025,2025,3,BULGARIA,LB,49071.1051,3254,FALSE
01-04-2025,2025,4,BULGARIA,LB,55316.22632,3730,FALSE
01-01-2025,2025,1,CANARY ISLANDS,GC,374596.893,19725,FALSE
01-02-2025,2025,2,CANARY ISLANDS,GC,356365.3254,18714,FALSE
01-03-2025,2025,3,CANARY ISLANDS,GC,410608.4808,21894,FALSE
01-04-2025,2025,4,CANARY ISLANDS,GC,339466.3976,19709,FALSE
01-01-2025,2025,1,CROATIA,LD,21246.93836,2593,FALSE
01-02-2025,2025,2,CROATIA,LD,18723.7829,2409,FALSE
01-03-2025,2025,3,CROATIA,LD,25058.38956,3022,FALSE
01-04-2025,2025,4,CROATIA,LD,53127.972,5210,FALSE
01-01-2025,2025,1,CYPRUS,LC,50571.24868,2670,FALSE
01-02-2025,2025,2,CYPRUS,LC,47115.23582,2353,FALSE
01-03-2025,2025,3,CYPRUS,LC,61581.17926,2945,FALSE
01-04-2025,2025,4,CYPRUS,LC,94534.11628,4368,FALSE
01-01-2025,2025,1,CZECHIA,LK,82386.26922,4944,FALSE
01-02-2025,2025,2,CZECHIA,LK,81015.78296,5077,FALSE
01-03-2025,2025,3,CZECHIA,LK,95979.3137,6099,FALSE
01-04-2025,2025,4,CZECHIA,LK,102518.5498,6612,FALSE
01-01-2025,2025,1,DENMARK,EK,219022.2086,11663,TRUE
01-02-2025,2025,2,DENMARK,EK,204978.6328,11424,TRUE
01-03-2025,2025,3,DENMARK,EK,237667.7665,13497,TRUE
01-04-2025,2025,4,DENMARK,EK,257297.776,14953,TRUE
01-01-2025,2025,1,ESTONIA,EE,13997.67696,1547,FALSE
01-02-2025,2025,2,ESTONIA,EE,13762.85966,1488,FALSE
01-03-2025,2025,3,ESTONIA,EE,16774.8683,1765,FALSE
01-04-2025,2025,4,ESTONIA,EE,17075.79812,1859,FALSE
01-01-2025,2025,1,FINLAND,EF,196523.207,8899,FALSE
01-02-2025,2025,2,FINLAND,EF,183300.2906,8539,FALSE
01-03-2025,2025,3,FINLAND,EF,197592.3284,9454,FALSE
01-04-2025,2025,4,FINLAND,EF,189003.3073,8587,FALSE
01-01-2025,2025,1,FRANCE,LF,1618410.147,62701,FALSE
01-02-2025,2025,2,FRANCE,LF,1496020.959,62014,FALSE
01-03-2025,2025,3,FRANCE,LF,1712441.523,71998,FALSE
